mayo_bench_MAYO_1
KeyGen cycles, 55, 534, 1687, 17, 49, 68509, 24301, 226, 252
KeyGen cycles, 43, 490, 1716, 17, 51, 83795, 25124, 197, 257
KeyGen cycles, 39, 536, 1620, 18, 51, 55610, 23985, 236, 251
KeyGen cycles, 43, 498, 1599, 17, 133, 55035, 24765, 226, 253
KeyGen cycles, 42, 525, 1607, 17, 49, 54998, 24509, 199, 273
KeyGen cycles, 41, 604, 1781, 15, 51, 55066, 24946, 223, 255
KeyGen cycles, 41, 579, 1578, 15, 51, 55115, 23909, 224, 251
KeyGen cycles, 41, 511, 1950, 17, 51, 55019, 25319, 197, 251
KeyGen cycles, 51, 612, 1613, 16, 50, 55359, 26292, 195, 251
KeyGen cycles, 41, 630, 1718, 16, 50, 55158, 24268, 224, 257
KeyGen cycles, 41, 751, 1545, 15, 51, 54929, 24247, 199, 255
KeyGen cycles, 41, 538, 1696, 16, 51, 55009, 24120, 212, 252
KeyGen cycles, 51, 645, 1590, 17, 49, 54902, 24414, 226, 254
KeyGen cycles, 41, 726, 1585, 18, 48, 54897, 24400, 267, 256
KeyGen cycles, 44, 509, 1636, 16, 47, 55284, 24547, 197, 251
KeyGen cycles, 43, 505, 1588, 17, 51, 55029, 25225, 222, 252
KeyGen cycles, 54, 539, 1612, 16, 49, 55019, 24619, 195, 255
KeyGen cycles, 39, 558, 1611, 17, 49, 54883, 24390, 197, 250
KeyGen cycles, 53, 514, 1564, 18, 47, 55116, 23968, 244, 255
KeyGen cycles, 45, 505, 1926, 16, 51, 54953, 24178, 197, 249
KeyGen cycles, 41, 519, 1591, 18, 50, 54864, 24308, 225, 251
KeyGen cycles, 41, 604, 1687, 15, 49, 55025, 24397, 195, 249
KeyGen cycles, 43, 538, 1681, 17, 49, 54947, 23927, 216, 254
KeyGen cycles, 51, 792, 2264, 21, 187, 55129, 24164, 308, 254
KeyGen cycles, 54, 538, 1627, 15, 51, 54996, 23965, 201, 258
KeyGen cycles, 41, 493, 1619, 17, 51, 55010, 23916, 215, 257
KeyGen cycles, 43, 486, 1532, 16, 51, 55027, 23901, 197, 249
KeyGen cycles, 43, 515, 1591, 18, 48, 54977, 23963, 197, 252
KeyGen cycles, 52, 628, 1560, 16, 52, 55041, 23872, 201, 253
KeyGen cycles, 41, 503, 1609, 15, 49, 54920, 23948, 207, 253
KeyGen cycles, 43, 526, 1533, 17, 49, 54887, 24086, 195, 250
KeyGen cycles, 45, 622, 1613, 15, 51, 54832, 24098, 224, 256
KeyGen cycles, 51, 526, 1716, 16, 49, 55040, 23927, 246, 259
KeyGen cycles, 41, 546, 1582, 17, 49, 54990, 23925, 243, 254
KeyGen cycles, 41, 548, 1550, 18, 49, 55019, 23917, 222, 257
